"Shopify Contact Id",Status,"First Name","Last Name",Email,Optin,Country,Mobile,Children,"ZIP Code","Date of Birth",Gender,Fax,"raw 4","Demo Emarsys","predict last abandoned date","Zip Code (office)","Phone (office)",URL,State
5887714258,enabled,ap,singh,testaps@gmail.com,2,1,0,0.00,,,,,,,,,,,,
5887709714,disabled,test,test1,1test123@gmail.com,2,1,0,0.00,,,,test,test1,,,,,"Andaman and Nicobar",India,
5884097298,disabled,taste,waste,taste@gmail.com,2,1,1,0.00,,,,taste,waste,,"some address","some address two","some city 1",,Azerbaijan,123123
5883776850,disabled,first,last,12345@gmail1.com,1,1,0,0.00,"test note 1",1,tag2,first1,last1,company1,address1,address2,city,region,Germany,201305
5883569682,disabled,first,last,email@email.com,1,1,0,0.00,note,1,"tag1, tag2","first address","last address",company,address1,address2,city,"Uttar Pradesh",India,201305
5883540242,disabled,test,test1,test2@test.com,1,1,0,0.00,"test note",1,test,test,test1,test2,test3,test4,test5,"Andaman and Nicobar",India,201305
5883514642,disabled,abhishek,singh,abhishek@test.com,1,1,0,0.00,"test note",1,test1,abhishek,singh,test,test2,test3,test4,"Arunachal Pradesh",India,201305
5883504402,disabled,ap,singh,aps@gmail1.com,1,1,0,0.00,"test nte",1,test,ap,singh,test,test3,test4,test5,Lakshadweep,India,201305
5883487698,disabled,rishabh,singh,rishabh@gmail1.com,1,1,0,0.00,"test account",1,"test, test1",rishabh,singh,test,test2,test3,test4,Gujarat,India,201305
5883477458,disabled,satyam,singh,satyam@gmail1.com,1,1,0,0.00,test4,1,"test, test1",satyam,singh,test,test1,test2,test3,Goa,India,201305
5883459090,disabled,shivam,singh,testingshivam@gmail.com,1,1,0,0.00,"tets note",1,"test, test1",shivam,singh,t3est,"test address","test address 2","city test",Kerala,India,201305
5843001746,disabled,Anshul,"Kothari 1",akothari@synapseindia.email,1,1,3,0.09,"it is my test account.",1,,Anshul,Kothari,"Synape IT",Test1,test2,Nioda,"Uttar Pradesh",India,201305
5823537938,disabled,Dev,Ram112,devram@gmail.com,2,1,0,0.00,,,,dev,ram,ram,"ram address","another address",ram,"Andaman and Nicobar",India,1210362
5823272722,disabled,dev,ops,DEVoPS@GMAIL.COM,2,1,1,0.03,,,,dev,ops,devops,"some address","some address 2",asdad,"Andaman and Nicobar",India,11523
5804105170,disabled,opt,opt,opt@opt.com,2,1,1,0.00,,,,opt,opt,,"some address","some address two","some city 1",,Azerbaijan,123123
5726877714,disabled,ramsesh,pandaya,rcpandey@synapseindia.email,1,1,6,0.20,,1,,ramsesh,pandey,test,test1,test2,test3,"Uttar Pradesh",India,201301
5715052626,disabled,test11,test,test11@gmail.com,1,1,0,0.00,test,,,test11,test,test1,test3,test4,noida,"Uttar Pradesh",India,201305
5715039506,disabled,test10,test2,test10@gmail.com,1,1,0,0.00,test,,,test10,test2,synapse,test1,test2,Noida,"Uttar Pradesh",India,201305
5715021458,disabled,testuser,new1,newuser@gmail.com,1,1,0,0.00,test,,,testuser,new,synapse,test1,test2,noida,"Andaman and Nicobar",India,201305
5714979922,disabled,test,test1,test12@gmail.com,1,1,0,0.00,test,,,test,test,test,test,test,noida,"Andaman and Nicobar",India,201305
